번호,문제,정답,해설,choiceJson
60,사용자 'PARK'에게 테이블을 생성할 수 있는 권한을 부여하기 위한 SQL문의 구성으로 빈칸에 적합한 내용은?,1,정답은 1번: CREATE TABLE TO ,"{""1"": ""CREATE TABLE TO"", ""2"": ""CREATE TO"", ""3"": ""CREATE FROM"", ""4"": ""CREATE TABLE FROM""}"
61,C언어에서 문자열 처리 함수의 서식과 그 기능의 연결로 틀린 것은?,3,"정답은 3번: strcmp(s1, s2) - s1과 s2를 연결한다. ","{""1"": ""strlen(s) - s의 길이를 구한다."", ""2"": ""strcpy(s1, s2) - s2를 s1으로 복사한다."", ""3"": ""strcmp(s1, s2) - s1과 s2를 연결한다."", ""4"": ""strrev(s)－s를 거꾸로 변환한다.""}"
62,다음 C언어 프로그램이 실행되었을 때 실행 결과는?,2,정답은 2번: 2 ,"{""1"": ""0"", ""2"": ""2"", ""3"": ""5"", ""4"": ""14""}"
63,다음 C언어 프로그램이 실행되었을 때 실행 결과는?,2,정답은 2번: 60 ,"{""1"": ""30"", ""2"": ""60"", ""3"": ""80"", ""4"": ""120""}"
64,IP 프로토콜에서 사용하는 필드와 해당 필드에 대한 설명으로 틀린 것은?,2,정답은 2번: Packet Length는 IP 헤더를 제외한 패킷 전체의 길이를  나타내며 최대 크기는 232－1비트이다. ,"{""1"": ""Header Length는 IP 프로토콜의 헤더 길이를 32비트 워 드 단위로 표시한다."", ""2"": ""Packet Length는 IP 헤더를 제외한 패킷 전체의 길이를  나타내며 최대 크기는 232－1비트이다."", ""3"": ""Time To Live는 송신 호스트가 패킷을 전송하기 전 네 트워크에서 생존할 수 있는 시간을 지정한 것이다."", ""4"": ""Version Number는 IP 프로토콜의 버전번호를 나타낸다.""}"
65,다음 Python 프로그램의 실행 결과가 [실행결과]와 같을 때 빈칸에 적합한 것은?,2,정답은 2번: elif ,"{""1"": ""either"", ""2"": ""elif"", ""3"": ""else if"", ""4"": ""else""}"
66,RIP 라우팅 프로토콜에 대한 설명으로 틀린 것은?,2,정답은 2번: 라우팅 프로토콜을 IGP와 EGP로 분류했을 때 EGP에 해 당한다. ,"{""1"": ""경로 선택 메트릭은 홉 카운트(hop count)이다."", ""2"": ""라우팅 프로토콜을 IGP와 EGP로 분류했을 때 EGP에 해 당한다."", ""3"": ""최단 경로 탐색에 Bellman-Ford 알고리즘을 사용한다."", ""4"": ""각 라우터는 이웃 라우터들로부터 수신한 정보를 이용하 여 라우팅 표를 갱신한다.""}"
67,다음에서 설명하는 프로세스 스케줄링은?,3,정답은 3번: HRN 스케줄링 ,"{""1"": ""FIFO 스케줄링"", ""2"": ""RR 스케줄링"", ""3"": ""HRN 스케줄링"", ""4"": ""MQ 스케줄링""}"
68,UNIX 운영체제에 관한 특징으로 틀린 것은?,2,정답은 2번: Multi-User는 지원하지만 Multi-Tasking은 지원하지 않 는다. ,"{""1"": ""하나 이상의 작업에 대하여 백그라운드에서 수행이 가능 하다."", ""2"": ""Multi-User는 지원하지만 Multi-Tasking은 지원하지 않 는다."", ""3"": ""트리 구조의 파일 시스템을 갖는다. 4과목 : 프로그래밍 언어 활용 정보처리기사 "", ""4"": ""이식성이 높으며 장치 간의 호환성이 높다.""}"
69,UDP 프로토콜의 특징이 아닌 것은?,3,"정답은 3번: 주로 주소를 지정하고, 경로를 설정하는 기능을 한다. ","{""1"": ""비연결형 서비스를 제공한다."", ""2"": ""단순한 헤더 구조로 오버헤드가 적다."", ""3"": ""주로 주소를 지정하고, 경로를 설정하는 기능을 한다."", ""4"": ""TCP와 같이 트랜스포트 계층에 존재한다.""}"
70,Python 데이터 타입 중 시퀀스(Sequence) 데이터 타입에해당하며 다양한 데이터 타입들을 주어진 순서에 따라 저장할 수 있으나 저장된 내용을 변경할 수 없는 것은?,4,정답은 4번: 튜플(tuple) 타입 ,"{""1"": ""복소수(complex) 타입"", ""2"": ""리스트(list) 타입"", ""3"": ""사전(dict) 타입"", ""4"": ""튜플(tuple) 타입""}"
71,다음 JAVA 프로그램이 실행되었을 때 실행결과는?,2,정답은 2번: 0 1 2 3 ,"{""1"": ""1 2 3 4"", ""2"": ""0 1 2 3"", ""3"": ""1 2 3"", ""4"": ""0 1 2""}"
72,다음 JAVA 프로그램이 실행되었을 때의 결과는?,3,정답은 3번: 3 ,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4""}"
73,다음 중 Myers가 구분한 응집도(Cohesion)의 정도에서 가장 낮은 응집도를 갖는 단계는?,4,정답은 4번: 우연적 응집도(Coincidental Cohesion) ,"{""1"": ""순차적 응집도(Sequential Cohesion)"", ""2"": ""기능적 응집도(Functional Cohesion)"", ""3"": ""시간적 응집도(Temporal Cohesion)"", ""4"": ""우연적 응집도(Coincidental Cohesion)""}"
74,다음 C언어 프로그램이 실행되었을 때 실행 결과는?,2,정답은 2번: 1 ,"{""1"": ""0"", ""2"": ""1"", ""3"": ""2"", ""4"": ""3""}"
75,IP 프로토콜의 주요 특징에 해당하지 않는 것은?,1,정답은 1번: 체크섬(Checksum) 기능으로 데이터 체크섬(Data  Checksum)만 제공한다. ,"{""1"": ""체크섬(Checksum) 기능으로 데이터 체크섬(Data  Checksum)만 제공한다."", ""2"": ""패킷을 분할, 병합하는 기능을 수행하기도 한다."", ""3"": ""비연결형 서비스를 제공한다."", ""4"": ""Best Effort 원칙에 따른 전송 기능을 제공한다.""}"
76,4개의 페이지를 수용할 수 있는 주기억장치가 있으며 초기에는 모두 비어 있다고 가정한다. 다음의 순서로 페이지 참조가 발생할 때 LRU 페이지 교체 알고리즘을 사용할 경우 몇 번의 페이지 결함이 발생하는가?,1,정답은 1번: 5회 ,"{""1"": ""5회"", ""2"": ""6회"", ""3"": ""7회"", ""4"": ""8회""}"
77,사용자 수준에서 지원되는 스레드(thread)가 커널에서 지원되는 스레드에 비해 가지는 장점으로 옳은 것은?,4,정답은 4번: 커널 모드로의 전환 없이 스레드 교환이 가능하므로 오 버헤드가 줄어든다. ,"{""1"": ""한 프로세스가 운영체제를 호출할 때 전체 프로세스가  대기할 필요가 없으므로 시스템 성능을 높일 수 있다."", ""2"": ""동시에 여러 스레드가 커널에 접근할 수 있으므로 여러  스레드가 시스템 호출을 동시에 사용할 수 있다."", ""3"": ""각 스레드를 개별적으로 관리할 수 있으므로 스레드의  독립적인 스케줄링이 가능하다."", ""4"": ""커널 모드로의 전환 없이 스레드 교환이 가능하므로 오 버헤드가 줄어든다.""}"
78,한 모듈이 다른 모듈의 내부 기능 및 그 내부 자료를 참조하는 경우의 결합도는?,1,정답은 1번: 내용 결합도(Content Coupling) ,"{""1"": ""내용 결합도(Content Coupling)"", ""2"": ""제어 결합도(Control Coupling)"", ""3"": ""공통 결합도(Common Coupling) 정보처리기사"", ""4"": ""스탬프 결합도(Stamp Coupling)""}"
79,a[0]의 주소값이 10일 경우 다음 C언어 프로그램이 실행되었을 때의 결과는? (int 형의 크기는 4Byte로 가정한다.),3,"정답은 3번: 18, 10 ","{""1"": ""14, 10"", ""2"": ""14, 14"", ""3"": ""18, 10"", ""4"": ""18, 14""}"
80,모듈화(Modularity)와 관련한 설명으로 틀린 것은?,2,정답은 2번: 응집도는 모듈과 모듈 사이의 상호의존 또는 연관 정도 를 의미한다. ,"{""1"": ""시스템을 모듈로 분할하면 각각의 모듈을 별개로 만들고  수정할 수 있기 때문에 좋은 구조가 된다."", ""2"": ""응집도는 모듈과 모듈 사이의 상호의존 또는 연관 정도 를 의미한다."", ""3"": ""모듈 간의 결합도가 약해야 독립적인 모듈이 될 수 있 다."", ""4"": ""모듈 내 구성 요소들 간의 응집도가 강해야 좋은 모듈  설계이다.""}"
81,소프트웨어 개발에서 정보보안 3요소에 해당 하지 않는 설명은?,4,정답은 4번: 휘발성 : 인가된 사용자가 수행한 데이터는 처리 완료  즉시 폐기 되어야 한다. ,"{""1"": ""기밀성 : 인가된 사용자에 대해서만 자원 접근이 가능하 다."", ""2"": ""무결성 : 인가된 사용자에 대해서만 자원 수정이 가능하 며 전송중인 정보는 수정되지 않는다."", ""3"": ""가용성 : 인가된 사용자는 가지고 있는 권한 범위 내에 서 언제든 자원 접근이 가능하다."", ""4"": ""휘발성 : 인가된 사용자가 수행한 데이터는 처리 완료  즉시 폐기 되어야 한다.""}"
82,어떤 외부 컴퓨터가 접속되면 접속 인가 여부를 점검해서 인가된 경우에는 접속이 허용되고 그 반대의 경우에는 거부할 수 있는 접근제어 유틸리티는?,1,정답은 1번: tcp wrapper ,"{""1"": ""tcp wrapper"", ""2"": ""trace checker"", ""3"": ""token finder"", ""4"": ""change detector""}"
83,기기를 키오스크에 갖다 대면 원하는 데이터를 바로 가져올수 있는 기술로 10㎝ 이내 근접 거리에서 기가급 속도로 데이터 전송이 가능한 초고속 근접무선통신(NFC : Near FieldCommunication) 기술은?,2,정답은 2번: Zing ,"{""1"": ""BcN(Broadband Convergence Network)"", ""2"": ""Zing"", ""3"": ""Marine Navi"", ""4"": ""C-V2X(Cellular Vehicle To Everything)""}"
84,취약점 관리를 위한 응용 프로그램의 보안 설정과 가장 거리가 먼 것은?,1,정답은 1번: 서버 관리실 출입 통제 ,"{""1"": ""서버 관리실 출입 통제"", ""2"": ""실행 프로세스 권한 설정"", ""3"": ""운영체제의 접근 제한"", ""4"": ""운영체제의 정보 수집 제한""}"
85,소프트웨어 개발 프레임워크와 관련한 설명으로 가장 적절하지 않은 것은?,2,"정답은 2번: 라이브러리와는 달리 사용자 코드에서 프레임워크를 호 출해서 사용하고, 그에 대한 제어도 사용자 코드가 가지 는 방식이다. ","{""1"": ""반제품 상태의 제품을 토대로 도메인별로 필요한 서비스  컴포넌트를 사용하여 재사용성 확대와 성능을 보장 받을  수 있게 하는 개발 소프트웨어이다."", ""2"": ""라이브러리와는 달리 사용자 코드에서 프레임워크를 호 출해서 사용하고, 그에 대한 제어도 사용자 코드가 가지는 방식이다."", ""3"": ""설계 관점에 개발 방식을 패턴화시키기 위한 노력의 결 과물인 소프트웨어 디자인 패턴을 반제품 소프트웨어 상 태로 집적화시킨 것으로 볼 수 있다."", ""4"": ""프레임워크의 동작 원리를 그 제어 흐름의 일반적인 프 로그램 흐름과 반대로 동작한다고 해서 IoC(Inversion of  Control)이라고 설명하기도 한다.""}"
86,클라우드 기반 HSM(Cloud-based Hardware SecurityModule)에 대한 설명으로 틀린 것은?,4,정답은 4번: 하드웨어가 아닌 소프트웨어적으로만 구현되기 때문에  소프트웨어식 암호 기술에 내재된 보안 취약점을 해결할  수 없다는 것이 주요 단점이다. ,"{""1"": ""클라우드(데이터센터) 기반 암호화 키 생성, 처리, 저장  등을 하는 보안 기기이다."", ""2"": ""국내에서는 공인인증제의 폐지와 전자서명법 개정을 추 진하면서 클라우드 HSM 용어가 자주 등장하였다."", ""3"": ""클라우드에 인증서를 저장하므로 기존 HSM 기기나 휴대 폰에 인증서를 저장해 다닐 필요가 없다."", ""4"": ""하드웨어가 아닌 소프트웨어적으로만 구현되기 때문에  소프트웨어식 암호 기술에 내재된 보안 취약점을 해결할  수 없다는 것이 주요 단점이다.""}"
87,다음 내용이 설명하는 기술로 가장 적절한 것은?,3,정답은 3번: Mesh Network ,"{""1"": ""Virtual Local Area Network"", ""2"": ""Simple Station Network"", ""3"": ""Mesh Network"", ""4"": ""Modem Network""}"
88,물리적 위협으로 인한 문제에 해당하지 않는 것은?,4,"정답은 4번: 방화벽 설정의 잘못된 조작으로 인한 네트워크, 서버 보 안 위협 ","{""1"": ""화재, 홍수 등 천재지변으로 인한 위협"", ""2"": ""하드웨어 파손, 고장으로 인한 장애"", ""3"": ""방화, 테러로 인한 하드웨어와 기록장치를 물리적으로  파괴하는 행위"", ""4"": ""방화벽 설정의 잘못된 조작으로 인한 네트워크, 서버 보 안 위협""}"
89,악성코드의 유형 중 다른 컴퓨터의 취약점을 이용하여 스스로 전파하거나 메일로 전파되며 스스로를 증식하는 것은?,1,정답은 1번: Worm ,"{""1"": ""Worm"", ""2"": ""Rogue Ware"", ""3"": ""Adware"", ""4"": ""Reflection Attack""}"
90,다음 설명에 해당하는 공격기법은?,1,정답은 1번: Ping of Death ,"{""1"": ""Ping of Death"", ""2"": ""Session Hijacking"", ""3"": ""Piggyback Attack"", ""4"": ""XSS""}"
91,다음 설명에 해당하는 소프트웨어는?,2,정답은 2번: 소프트웨어 개발 프레임워크 ,"{""1"": ""전역 함수 라이브러리"", ""2"": ""소프트웨어 개발 프레임워크"", ""3"": ""컨테이너 아키텍처"", ""4"": ""어휘 분석기""}"
92,소프트웨어 개발 방법론 중 애자일(Agile) 방법론의 특징과 가장 거리가 먼 것은?,1,정답은 1번: 각 단계의 결과가 완전히 확인된 후 다음 단계 진행 ,"{""1"": ""각 단계의 결과가 완전히 확인된 후 다음 단계 진행"", ""2"": ""소프트웨어 개발에 참여하는 구성원들 간의 의사소통 중 시"", ""3"": ""환경 변화에 대한 즉시 대응"", ""4"": ""프로젝트 상황에 따른 주기적 조정""}"
93,대칭 암호 알고리즘과 비대칭 암호 알고리즘에 대한 설명으로 틀린 것은?,2,정답은 2번: 대칭 암호 알고리즘은 비밀키 전달을 위한 키 교환이 필 요하지 않아 암호화 및 복호화의 속도가 빠르다. ,"{""1"": ""대칭 암호 알고리즘은 비교적 실행 속도가 빠르기 때문 에 다양한 암호의 핵심 함수로 사용될 수 있다."", ""2"": ""대칭 암호 알고리즘은 비밀키 전달을 위한 키 교환이 필 요하지 않아 암호화 및 복호화의 속도가 빠르다."", ""3"": ""비대칭 암호 알고리즘은 자신만이 보관하는 비밀키를 이 용하여 인증, 전자서명 등에 적용이 가능하다."", ""4"": ""대표적인 대칭키 암호 알고리즘으로는 AES, IDEA 등이  있다.""}"
94,두 명의 개발자가 5개월에 걸쳐 10000 라인의 코드를 개발하였을 때 월별(man-month) 생산성 측정을 위한 계산 방식으로 가장 적합한 것은?,2,정답은 2번: 10000／(5×2) ,"{""1"": ""10000／2"", ""2"": ""10000／(5×2)"", ""3"": ""10000／5"", ""4"": ""(2×10000)／5""}"
95,"접근 통제 방법 중 조직 내에서 직무, 직책 등 개인의 역할에 따라 결정하여 부여하는 접근 정책은?",1,정답은 1번: RBAC ,"{""1"": ""RBAC"", ""2"": ""DAC"", ""3"": ""MAC"", ""4"": ""QAC""}"
96,COCOMO(Constructive Cost Model) 모형의 특징이 아닌 것은?,4,"정답은 4번: 프로젝트 개발유형에 따라 object, dynamic, function의  3가지 모드로 구분한다. ","{""1"": ""프로젝트를 완성하는데 필요한 man-month로 산정 결과 를 나타낼 수 있다."", ""2"": ""보헴(Boehm)이 제안한 것으로 원시코드 라인 수에 의한  비용 산정 기법이다."", ""3"": ""비교적 작은 규모의 프로젝트 기록을 통계 분석하여 얻 은 결과를 반영한 모델이며 중소 규모 소프트웨어 프로 젝트 비용 추정에 적합하다."", ""4"": ""프로젝트 개발유형에 따라 object, dynamic, function의  3가지 모드로 구분한다.""}"
97,각 사용자 인증의 유형에 대한 설명으로 가장 적절하지 않은 것은?,3,"정답은 3번: 존재 : 주체는 '그를 대체하는 것'을 보여주며 예시로는  패턴, QR 등이 있다. ","{""1"": ""지식 : 주체는 '그가 알고 있는 것'을 보여주며 예시로는  패스워드, PIN 등이 있다."", ""2"": ""소유 : 주체는 '그가 가지고 있는 것'을 보여주며 예시로 는 토큰, 스마트카드 등이 있다."", ""3"": ""존재 : 주체는 '그를 대체하는 것'을 보여주며 예시로는  패턴, QR 등이 있다."", ""4"": ""행위 : 주체는 '그가 하는 것'을 보여주며 예시로는 서명,  움직임, 음성 등이 있다.""}"
98,시스템의 사용자가 로그인하여 명령을 내리는 과정에 대한 시스템의 동작 중 다음 설명에 해당하는 것은?,4,정답은 4번: Authentication ,"{""1"": ""Aging"", ""2"": ""Accounting"", ""3"": ""Authorization"", ""4"": ""Authentication""}"
99,다음에서 설명하는 IT 기술은?,1,정답은 1번: SDN(Software Defined Networking) ,"{""1"": ""SDN(Software Defined Networking)"", ""2"": ""NFS(Network File System)"", ""3"": ""Network Mapper"", ""4"": ""AOE Network""}"
100,프로젝트 일정 관리 시 사용하는 PERT 차트에 대한 설명으로 옳은 것은?,4,"정답은 4번: 작업들 간의 상호 관련성, 결정경로, 경계시간, 자원할당  등을 제시한다.  ","{""1"": ""각 작업들이 언제 시작하고 언제 종료되는지에 대한 일 정을 막대 도표를 이용하여 표시한다."", ""2"": ""시간선(Time-line) 차트라고도 한다."", ""3"": ""수평 막대의 길이는 각 작업의 기간을 나타낸다."", ""4"": ""작업들 간의 상호 관련성, 결정경로, 경계시간, 자원할당  등을 제시한다. ""}"
